
Postcode,Borough,Neighborhood
M5H,Downtown Toronto,Richmond
M5J,Downtown Toronto,Harbourfront East
M5J,Downtown Toronto,Toronto Islands
M5J,Downtown Toronto,Union Station
M5K,Downtown Toronto,Design Exchange
M5K,Downtown Toronto,Toronto Dominion Centre
M5L,Downtown Toronto,Commerce Court
M5L,Downtown Toronto,Victoria Hotel
M5S,Downtown Toronto,Harbord
M5S,Downtown Toronto,University of Toronto
M5T,Downtown Toronto,Chinatown
M5T,Downtown Toronto,Grange Park
M5T,Downtown Toronto,Kensington Market
M5V,Downtown Toronto,CN Tower
M5V,Downtown Toronto,Bathurst Quay
M5V,Downtown Toronto,Island airport
M5V,Downtown Toronto,Harbourfront West
M5V,Downtown Toronto,King and Spadina
M5V,Downtown Toronto,Railway Lands
M5V,Downtown Toronto,South Niagara
M4W,Downtown Toronto,Rosedale
M5W,Downtown Toronto,Stn A PO Boxes 25 The Esplanade
M4X,Downtown Toronto,Cabbagetown
M4X,Downtown Toronto,St. James Town
M5X,Downtown Toronto,First Canadian Place
M5X,Downtown Toronto,Underground city
M4Y,Downtown Toronto,Church and Wellesley
M4N,Central Toronto,Lawrence Park
M5N,Central Toronto,Roselawn
M4P,Central Toronto,Davisville North
M5P,Central Toronto,Forest Hill North
M5P,Central Toronto,Forest Hill West
M4R,Central Toronto,North Toronto West
M5R,Central Toronto,The Annex
M5R,Central Toronto,North Midtown
M5R,Central Toronto,Yorkville
M4S,Central Toronto,Davisville
M4T,Central Toronto,Moore Park
M4T,Central Toronto,Summerhill East
M4V,Central Toronto,Deer Park
M4V,Central Toronto,Forest Hill SE
M4V,Central Toronto,Rathnelly
M4V,Central Toronto,South Hill
M4V,Central Toronto,Summerhill West
